D;L;Media_Geometrica_Ciclos
1;40960;7.117797
4096;40960;32.668894
64;163840;15.434440
8;163840;7.239300
1;163840;7.111867
1;15360;7.087866
64;15360;7.199275
8;15360;7.101999
1;81920;7.113133
512;40960;16.753907
64;1152;7.107933
8;1152;7.072900
1;1152;7.070967
64;40960;7.952186
8;40960;7.218400
4096;81920;32.681626
64;10240;7.161033
8;10240;7.108488
4096;1152;17.845166
1;10240;7.084267
4096;10240;31.567927
512;81920;17.061751
512;10240;13.803812
64;81920;13.372432
8;81920;7.243466
1;384;7.059400
4096;15360;31.833581
512;1152;7.235366
64;384;7.046698
8;384;6.963700
4096;384;7.137284
512;384;7.372736
4096;163840;32.895678
512;163840;17.268033
512;15360;15.131728
